Variable,Entropy_Weight,AHP_Weight,Blended_Weight
macro_nightlights_mean,0.27686638155106635,0.05,0.16343319077553317
infra_pmbjp_kendra_count,0.13443612355278114,0.08333333333333333,0.10888472844305724
macro_economic_employees,0.11546178743078747,0.05,0.08273089371539374
chronic_hypertension_prevalence,0.04979707580764869,0.09999999999999999,0.07489853790382434
macro_economic_establishments,0.09835373679136909,0.05,0.07417686839568455
infra_hospitals_count,0.05495227066289629,0.08333333333333333,0.06914280199811482
infra_phc_chc_count,0.040358552888531005,0.08333333333333333,0.06184594311093217
chronic_diabetes_prevalence,0.020162745966537818,0.09999999999999999,0.060081372983268905
climate_rainfall_volatility,0.05200189461727388,0.06666666666666667,0.05933428064197027
macro_population,0.06581125528214572,0.05,0.05790562764107286
climate_rainfall_annual_mm,0.04197731942712315,0.06666666666666667,0.054321993046894904
chronic_cancer_incidence_aar,0.007916349551429246,0.09999999999999999,0.053958174775714615
climate_rainfall_deviation_pct,0.030541028557279373,0.06666666666666667,0.04860384761197302
macro_literacy_rate,0.011363477913130741,0.05,0.030681738956565372
